From Type,Source,Edge,Target,Weight,starting date,ending date
Limited Partners (LPs)/SCR´s - Outside PT,Atomico,Investment,UNIPLACES LIMITED,1,2013,
Limited Partners (LPs)/SCR´s - Outside PT,True Ventures,Investment,"VENIAM, INC.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,Investment,"SCIENCE4YOU, S.A.",1,2012,
Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,Investment,"TUIZZI, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,Investment,NUTRI VENTURES CORPORATION - NVC S.A.,1,2010,
Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,Investment,"IM3DICAL, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,Investment,"GORGEOUSDETAILS, S.A. - SOCIEDADE EM LIQUIDAÇÃO",1,2013,2016
Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,Investment,"GLOBAL INPAKT, S.A.",1,2013,2015
Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,Investment,"GETSOCIAL, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,Investment,"GLEAM, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Finicia,Investment,"SCIENCE4YOU, S.A.",1,2012,
Venture Capital Funds,FCR Novabase Capital,Investment,"POWER DATA, LDA",1,2013,
Venture Capital Funds,FCR Novabase Capital,Investment,"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",1,2011,2015
Venture Capital Funds,FCR InovCapital,Investment,"KINEMATIX SENSE, S.A.",1,2008,
Venture Capital Funds,FCR InovCapital,Investment,GENE PREDIT S.A.,1,2012,
Venture Capital Funds,FCR Change Partners I,VC Fundraising,FCR Fast Change,1,2003,
Venture Capital Funds,Fundo de Sindicação de Capital de Risco PME – IAPMEI (“FSCR PME IAPMEI”),VC Fundraising,FCR Beta Early Stages,1,2005,2014
Venture Capital Funds,Fundo de Capital de Risco para Investidores Qualificados – CAPVEN NewCapital (“FIQ CAPVEN”),VC Fundraising,FCR Beta Early Stages,1,2005,2014
Venture Capital Funds,FCR Portugal Ventures Turismo Inovação,Investment,"MYGON, S.A.",1,2012,
Venture Capital Funds,FCR Portugal Ventures Turismo Inovação,Investment,"WEDELIVERAWESOMEAPPS, S.A.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Turismo Inovação,Investment,"ICLIO, S.A.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Turismo Inovação,Investment,"MAPS WITH LIFE, S.A. - EM LIQUIDAÇÃO",1,2013,2016
Venture Capital Funds,FCR Portugal Ventures Turismo Inovação,Investment,"FAIRWAY, MEDICAL TOURISM PORTUGAL, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Turismo Inovação,Investment,"FRIDAY: CIÊNCIA E ENGENHARIA DO LAZER, S.A.",1,2014,
Venture Capital Funds,FCR Beta Ciências da Vida,Investment,"NONIUSSOFT, SOFTWARE E CONSULTORIA PARA TELECOMUNICAÇÕES, S.A.",1,2011,2015
Venture Capital Funds,FCR Beta Ciências da Vida,Investment,"MAGNOMICS, S.A.",1,2014,
Venture Capital Funds,FCR Beta Ciências da Vida,Investment,"EQUIGERMINAL, S.A.",1,2012,
Venture Capital Funds,FCR Beta Ciências da Vida,Investment,"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",1,2013,
Venture Capital Funds,FCR ISTART I,Investment,"SAKPROJECT INTERNATIONAL, S.A",1,2012,
Venture Capital Funds,FCR ISTART I,Investment,QAMINE LIMITED,1,2015,
Venture Capital Funds,FCR ISTART I,Investment,"QAMINE PORTUGAL, S.A",1,2013,
Venture Capital Funds,FCR ISTART I,Investment,"ECOFOOT, S.A.",1,2013,
Venture Capital Funds,FCR ISTART I,Investment,"LASERLEAP TECHNOLOGIES,S.A.",1,2013,
Venture Capital Funds,FCR ISTART I,Investment,"MUZZLEY, S.A.",1,2012,
Venture Capital Funds,FCR ISTART I,Investment,"FASTINOV, S.A.",1,2015,
Venture Capital Funds,FCR ISTART I,Investment,"EQUIGERMINAL, S.A.",1,2012,
Venture Capital Funds,FCR ISTART I,Investment,"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",1,2013,
Venture Capital Funds,FCR PME / Novo Banco,Investment,"EPEDAL, SGPS S.A.",1,2015,
Venture Capital Funds,FCR Fast Change,Investment,"STOPLINE FILMS - PRODUÇÃO DE AUDIOVISUAIS, LDA",1,2005,
Venture Capital Funds,FCR Fast Change,Investment,"CEV, S.A.",1,2007,
Venture Capital Funds,FCR Fast Change,Investment,"CONVERDE, S.A.",1,2012,
Venture Capital Funds,FCR Fast Change,Investment,CRITICAL LINKS S.A.,1,2007,
Venture Capital Funds,FCR Fast Change,Investment,"HOTTRADE - REPRESENTAÇÕES, GESTÃO E SERVIÇOS S.A.",1,2006,
Venture Capital Funds,FCR Fast Change,Investment,"FLUIDINOVA, S.A.",1,2005,
Venture Capital Funds,FCR Fast Change,Investment,"GUESTCENTRIC SYSTEMS, S.A.",1,2007,
Venture Capital Funds,FCR Revitalizar Centro,Investment,"CELL2B - ADVANCED THERAPEUTICS, S.A.",1,2012,
Venture Capital Funds,FCR Revitalizar Centro,Investment,"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",1,2011,
Venture Capital Funds,FCR Portugal Ventures ACTEC II,Investment,"TOP RESEARCH, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures ACTEC II,Investment,THELIAL TECHNOLOGIES S.A.,1,2010,
Venture Capital Funds,FCR Portugal Ventures ACTEC II,Investment,"PERCEIVE3D, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures ACTEC II,Investment,"POSSIBLE ANSWER , S.A",1,2015,
