From Type,Source,Edge,Target,Weight,starting date,ending date
Venture Capital Funds,FCR ESV II,Investment,Superbac,1,2007,
Venture Capital Funds,FCR ESV II,Investment,Ultracell,1,2009,
Venture Capital Funds,FCR ESV II,Investment,TxVia,1,2009,2012
Venture Capital Funds,FCR ESV II,Investment,Nanosolar,1,2006,
Venture Capital Funds,FCR ESV II,Investment,Ophtalmopharma,1,2007,
Venture Capital Funds,FCR ESV II,Investment,Oceanlinx,1,2008,
Venture Capital Funds,FCR ESV II,Investment,"OUTSYSTEMS - SOFTWARE EM REDE, S.A.",1,2007,
Venture Capital Funds,FCR ESV II,Investment,Prepaid Media,1,2005,
Venture Capital Funds,FCR ESV II,Investment,"YDREAMS - INFORMÁTICA, S.A.",1,2006,
Venture Capital Funds,FCR ESV II,Investment,"YD YNVISIBLE, S.A.",1,2013,
Venture Capital Funds,FCR ESV II,Investment,"COREWORKS - PROJECTOS DE CIRCUITOS E SISTEMAS ELECTRÓNICOS, S.A.",1,2006,
Venture Capital Funds,FCR ESV II,Investment,Atraverda,1,2007,
Venture Capital Funds,FCR ESV II,Investment,AquaSpy,1,2007,
Venture Capital Funds,FCR ESV II,Investment,"AUGRPUBLISHER, S.A",1,2014,
Venture Capital Funds,FCR ESV II,Investment,Iosil Energy,1,2012,
Venture Capital Funds,FCR ESV II,Investment,"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",1,2013,
Venture Capital Funds,FCR ESV II,Investment,"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",1,2011,
Venture Capital Funds,FCR ESV II,Investment,"GLOBAL ACTIVE, GESTÃO DE PARTICIPAÇÕES SOCIAIS, SGPS S.A.",1,2006,
Venture Capital Funds,FCR FIAEA ­ Fundo de Investimento de Apoio ao Empreendorismo dos Açores,Investment,"ASINUS ATLANTICUS, S.A.",1,2014,
Venture Capital Funds,FCR ASK Celta,Investment,"TORBEL, S.A.",1,2014,
Venture Capital Funds,FCR ASK Celta,Investment,"PETAPILOT, S.A.",1,2015,
Venture Capital Funds,FCR ASK Celta,Investment,"ATP- ATLÂNTICO TRADE PARTNERS - IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS ALIMENTARES, LDA",1,2011,
Venture Capital Funds,FCR ASK Celta,Investment,"GUM CHEMICAL SOLUTIONS, S.A.",1,2015,
Venture Capital Funds,FCR PV ACTEC,VC Fundraising,FCR Portugal Ventures ACTEC II,1,2011,2014
Venture Capital Funds,FCR PV ACTEC,Investment,"OMNIFLOW, S.A",1,2012,2014
Venture Capital Funds,FCR PV ACTEC,Investment,PHARMA73 S.A.,1,2011,2014
Venture Capital Funds,FCR PV ACTEC,Investment,"XHOCKWARE, S.A.",1,2014,2014
Venture Capital Funds,FCR PV ACTEC,Investment,"ABYSSAL, S.A.",1,2012,2014
Venture Capital Funds,FCR PV ACTEC,Investment,"BIOMODE - BIOMOLECULAR DETERMINATION, S.A.",1,2011,2014
Venture Capital Funds,FCR PV ACTEC,Investment,"LYMPHACT - LYMPHOCYTE ACTIVATION TECHNOLOGIES, S.A.",1,2013,2014
Venture Capital Funds,FCR Minho Inovação e Internacionalização,Investment,"SPHERE ULTRAFAST PHOTONICS, S.A.",1,2014,
Venture Capital Funds,FCR Minho Inovação e Internacionalização,Investment,"TOP RESEARCH, S.A.",1,2015,
Venture Capital Funds,FCR Minho Inovação e Internacionalização,Investment,"WATT-IS, S.A.",1,2015,
Venture Capital Funds,FCR Minho Inovação e Internacionalização,Investment,WISE CONNECT S.A.,1,2014,
Venture Capital Funds,FCR Minho Inovação e Internacionalização,Investment,"DOCTORGUMMY, LDA",1,2014,
Venture Capital Funds,FCR Minho Inovação e Internacionalização,Investment,"ADDVOLT, S.A.",1,2014,
Venture Capital Funds,FCR Minho Inovação e Internacionalização,Investment,"BIOMODE 2, S.A.",1,2014,
Venture Capital Funds,FCR Minho Inovação e Internacionalização,Investment,"MOBIQUEUE, S.A.",1,2014,
Venture Capital Funds,FCR Minho Inovação e Internacionalização,Investment,FÓRMULA DA AVÓ - LDA,1,2013,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Valor 2,Investment,"MUZZLEY, S.A.",1,2012,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Valor 2,Investment,"BYCLOSURE, S.A.",1,2015,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Valor 2,Investment,"ALTURA PUBLISHING, S.A.",1,2014,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Valor 2,Investment,"ADFAMILIES PUBLICIDADE, S.A.",1,2015,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Valor 2,Investment,"IMMUNETHEP, S.A.",1,2015,
Venture Capital Funds,FCR ASK Capital,Investment,"TURFLYNX, LDA",1,2014,
Venture Capital Funds,FCR ASK Capital,Investment,"ECT - BUSINESS OPORTUNITY, COMPRA E VENDA DE VIATURAS, LDA",1,2014,
Venture Capital Funds,FCR ASK Capital,Investment,"ALTAKITIN, S.A.",1,2011,
Venture Capital Funds,FCR ASK Capital,Investment,"BABYBOOK, S.A.",1,2014,
Venture Capital Funds,FCR ASK Capital,Investment,"GREENFIBER TECH, S.A.",1,2013,
SPV´s,"SharkAB ­ Consultores, Lda",Investment,"CELL2B - ADVANCED THERAPEUTICS, S.A.",1,2012,
SPV´s,Magnum Capital Partners,Investment,"CELL2B - ADVANCED THERAPEUTICS, S.A.",1,2012,
SPV´s,"Busy Angels, SGPS",Investment,"SAKPROJECT INTERNATIONAL, S.A",1,2012,
SPV´s,"Busy Angels, SGPS",Investment,"ZUVI NOVA, S.A.",1,2011,
SPV´s,"Busy Angels, SGPS",Investment,"YOUNGSTORIES, S.A.",1,2013,
SPV´s,"Busy Angels, SGPS",Investment,"WEBANKOR, S.A.",1,2013,
SPV´s,"Busy Angels, SGPS",Investment,"XHOCKWARE, S.A.",1,2014,
SPV´s,"Busy Angels, SGPS",Investment,"LASERLEAP TECHNOLOGIES,S.A.",1,2013,
SPV´s,"Busy Angels, SGPS",Investment,"ICLIO, S.A.",1,2014,
SPV´s,"Busy Angels, SGPS",Investment,"LUSOEDUC - INFORMAÇÃO E SERVIÇOS, S.A.",1,2012,
SPV´s,"Busy Angels, SGPS",Investment,"LYMPHACT - LYMPHOCYTE ACTIVATION TECHNOLOGIES, S.A.",1,2013,
SPV´s,"Busy Angels, SGPS",Investment,"FASTINOV, S.A.",1,2015,
SPV´s,"Busy Angels, SGPS",Investment,"FAIRWAY, MEDICAL TOURISM PORTUGAL, S.A.",1,2013,
SPV´s,"Busy Angels, SGPS",Investment,"FABER VENTURES, S.A.",1,2013,
SPV´s,"Gegnum ­Gestão e Investimentod, lda",Investment,"BIOMODE 2, S.A.",1,2014,
SPV´s,"Intercapital ­Investimento e Gestão de Activos, S.A.",Investment,"PLUX - WIRELESS BIOSIGNALS, S.A.",1,2011,
SPV´s,"Intercapital ­Investimento e Gestão de Activos, S.A.",Investment,"CHANGING EXPERIENCE, S.A.",1,2013,
SPV´s,"Intercapital ­Investimento e Gestão de Activos, S.A.",Investment,"BIOMIMETX,S.A.",1,2015,
SPV´s,"Binteractive, Lda",Investment,"AUGRPUBLISHER, S.A",1,2014,
SPV´s,"Faber Investments,SGPS",Investment,"ALTURA PUBLISHING, S.A.",1,2014,
SPV´s,BrainInvest,Investment,"5ENSESINFOOD, S.A.",1,2013,
SPV´s,"IA - FCI Ciências da Vida SGPS, SA",Investment,"5ENSESINFOOD, S.A.",1,2013,
SPV´s,"IA - FCI Ciências da Vida SGPS, SA",Investment,"BIOMODE 2, S.A.",1,2014,
SPV´s,"Tagus Innovation for Growth SGPS, SA",Investment,"FABER VENTURES, S.A.",1,2013,
SPV´s,"TEX Risco, SGPS, SA",Investment,"ECOFOOT, S.A.",1,2013,
SPV´s,"A2B, SGPS",Investment,"EQUIGERMINAL, S.A.",1,2012,
SPV´s,"Capital Disperso, LDA",Investment,"DOCTORGUMMY, LDA",1,2014,
SPV´s,Vallis Sustainable Investments I,Investment,"DOCTORGUMMY, LDA",1,2014,
SPV´s,Critical SGPS (holding),Investment,"WFSW, S.A.",1,2012,
SPV´s,Critical SGPS (holding),Investment,CRITICAL LINKS S.A.,1,2007,
SPV´s,"Fast Sharks Invest, LDA",Investment,"DOCTORGUMMY, LDA",1,2014,
SPV´s,"The Edge, SGPS S.A",Investment,"CHIC BY CHOICE, S.A.",1,2014,
SPV´s,"SMARTEQUITY SGPS, LDA",Investment,"CHANGING EXPERIENCE, S.A.",1,2013,
SPV´s,"Vallis ­ SGPS, S.A.",Management entity (or controlling entity),Vallis Sustainable Investments I,1,2011,
SPV´s,"Vallis ­ SGPS, S.A.",Investment,"CELL2B - ADVANCED THERAPEUTICS, S.A.",1,2012,
SPV´s,"Shilling Capital Partners, SGPS, Lda",Investment,"YOUNGSTORIES, S.A.",1,2013,
SPV´s,"Shilling Capital Partners, SGPS, Lda",Investment,UNIPLACES LIMITED,1,2013,
SPV´s,"Shilling Capital Partners, SGPS, Lda",Investment,"UNBABEL, INC.",1,2014,
SPV´s,"Shilling Capital Partners, SGPS, Lda",Investment,"UNIVERSITYPLACES, SERVIÇOS DE INTERNET, LDA",1,2012,
SPV´s,"Shilling Capital Partners, SGPS, Lda",Investment,"CELL2B - ADVANCED THERAPEUTICS, S.A.",1,2012,
SPV´s,"Shilling Capital Partners, SGPS, Lda",Investment,"FABER VENTURES, S.A.",1,2013,
Targeted companies (startups),"VENIAM, INC.",Management entity (or controlling entity),"VENIAM, UNIPESSOAL LDA",1,2012,
Targeted companies (startups),UNIPLACES LIMITED,Investment,"UNIVERSITYPLACES, SERVIÇOS DE INTERNET, LDA",1,2012,
Targeted companies (startups),"YDREAMS - INFORMÁTICA, S.A.",Investment,"YD YNVISIBLE, S.A.",1,2013,
SPV´s,Brains2Market,Investment,"ZUVI NOVA, S.A.",1,2011,
SPV´s,"Talent Minds,Lda",Investment,"ZARPH, S.A.",1,2013,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",VC Fundraising,FCR ISTART I,1,2011,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",VC Fundraising,FCR F-HITEC,1,2008,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",VC Fundraising,FCR Empreender Mais,1,2009,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",VC Fundraising,FCR Caixa Tech Transfer Accelerator Ventures,1,2015,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,"SMARTWATT - ENERGY SERVICES, S.A.",1,2009,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Orankl,1,2014,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,QAMINE LIMITED,1,2015,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Management entity (or controlling entity),FCR Caixa Tech Transfer Accelerator Ventures,1,2015,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Management entity (or controlling entity),FCR Empreender Mais,1,2009,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,"UNBABEL, INC.",1,2014,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,"VENIAM, INC.",1,2014,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,UNIPLACES LIMITED,1,2013,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,"D-ORBIT PT, LDA",1,2014,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,"ALLIS UBBO INFORMATION SYSTEMS, LDA",1,2015,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Farfetch UK Limited,1,2005,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,"EXOGENUS THERAPEUTICS, S.A.",1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,"FOLLOWPRICE, S.A.",1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,"FOLLOW INSPIRATION, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,GENIBET BIOPHARMACEUTICALS S.A.,1,2006,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,"GUESTCENTRIC SYSTEMS, S.A.",1,2007,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,"LYMPHACT - LYMPHOCYTE ACTIVATION TECHNOLOGIES, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,"MAGNOMICS, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,INVINE,1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,BIOSURFIT S.A.,1,2004,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,BitSight Technologies,1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,BIOTREND - INOVAÇÃO E ENGENHARIA EM BIOTECNOLOGIA S.A.,1,2006,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,"BIOMODE - BIOMOLECULAR DETERMINATION, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,"ABYSSAL, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,ALFAMA - INVESTIGAÇÃO E DESENVOLVIMENTO DE PRODUTOS FARMACÊUTICOS LDA,1,2013,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,"CSIDE - SOLUÇÕES INTELIGENTES, S.A.",1,2008,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,CRITICAL LINKS S.A.,1,2007,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,"ENEIDA, WIRELESS & SENSORS, S.A.",1,2012,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,"DISPLAX, S.A.",1,2008,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,"CHIC BY CHOICE, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Code Place (Songvice B.V.),1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,"WIZI TO FIND, S.A.",1,2006,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,"XHOCKWARE, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,"ZUVI NOVA, S.A.",1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Principle Power Unipessoal LDA,1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,PHARMA73 S.A.,1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,"OUTSYSTEMS - SOFTWARE EM REDE, S.A.",1,2007,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,"OMNIFLOW, S.A",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,"SKAPHANDRUS, S.A. - EM LIQUIDAÇÃO",1,2014,2016
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Fundo de Capital de Risco Dinamização Turística,1,2009,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),FCR Portugal Ventures Internacionalização,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),FCR Portugal Ventures Indústrias Criativas,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),FCR Portugal Ventures Universitas,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),FCR Portugal Ventures Turismo Inovação,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),"PME Capital ­Sociedade Portuguesa de Capital de Risco, S.A",1,2001,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),FCR InovCapital,1,2003,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),FCR FIAEA ­ Fundo de Investimento de Apoio ao Empreendorismo dos Açores,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),FCR Portugal Ventures Biocant,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),FCR Portugal Ventures Early Stages,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),FCR Portugal Ventures Finicia,1,2007,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),FCR Portugal Ventures Global 2,1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),FCR Portugal Global Ventures,1,2005,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),FCR Portugal Ventures ACTEC II,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,FCR FIAEA ­ Fundo de Investimento de Apoio ao Empreendorismo dos Açores,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,Fundo de Capital de Risco Portugal Ventures Global 2,1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,FCR Portugal Ventures Universitas,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,FCR Portugal Ventures Internacionalização,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,FCR Portugal Ventures Early Stages,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,FCR Critical Ventures I,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,FCR Portugal Global Ventures,1,2005,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,FCR Portugal Ventures Finicia,1,2007,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,FCR Portugal Ventures Indústrias Criativas,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,FCR Portugal Ventures Biocant,1,2011,
SPV´s,BrainCapital,Investment,"SWORD HEALTH, S.A",1,2014,
SPV´s,"New Ventures SGPS, SA",Investment,"SWORD HEALTH, S.A",1,2014,
SPV´s,"FJR, SGPS, S.A",Investment,STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.,1,2011,
SPV´s,"Agro Consultores,Lda",Investment,"ZARPH, S.A.",1,2013,
SPV´s,"A. Silva Matos II - Investimentos, SA",Investment,"WINDPLUS, S.A.",1,2009,
SPV´s,IA - FCI - TICE,Investment,"TUIZZI, S.A.",1,2013,
Limited Partners (LPs)/SCR´s,"ES Ventures SCR, SA",Management entity (or controlling entity),FCR ESV II,1,2006,
Limited Partners (LPs)/SCR´s,"ES Ventures SCR, SA",Management entity (or controlling entity),FCR ESV III,1,2009,
Limited Partners (LPs)/SCR´s,"ES Ventures SCR, SA",Management entity (or controlling entity),FCR ESV Inovação & Internacionalização,1,2011,
Limited Partners (LPs)/SCR´s,"ES Ventures SCR, SA",Management entity (or controlling entity),FCR F-HITEC,1,2008,
Limited Partners (LPs)/SCR´s,"ES Ventures SCR, SA",Management entity (or controlling entity),FCR ISTART I,1,2011,
Limited Partners (LPs)/SCR´s,"ES Ventures SCR, SA",Investment,"FEEDZAI, INC.",1,2013,
Limited Partners (LPs)/SCR´s,"Capital Criativo SCR, SA",Management entity (or controlling entity),FCR Capital Criativo I,1,2011,
Limited Partners (LPs)/SCR´s,Haitong Capital SCR SA,Management entity (or controlling entity),FCR PME / Novo Banco,1,1997,
Limited Partners (LPs)/SCR´s,"Change Partners SCR, SA",VC Fundraising,FCR Fast Change,1,2003,
Limited Partners (LPs)/SCR´s,"Change Partners SCR, SA",Management entity (or controlling entity),FCR Fast Change II,1,2011,
Limited Partners (LPs)/SCR´s,"Change Partners SCR, SA",Management entity (or controlling entity),FCR Fast Change,1,2005,
Limited Partners (LPs)/SCR´s,"2BPARTNER SCR, SA",Management entity (or controlling entity),FCR Minho Inovação e Internacionalização,1,2011,
Limited Partners (LPs)/SCR´s,"Novabase Capital SCR, SA",VC Fundraising,FCR ISTART I,1,2011,
Limited Partners (LPs)/SCR´s,"Novabase Capital SCR, SA",VC Fundraising,FCR Novabase Capital,1,2005,
Limited Partners (LPs)/SCR´s,"Novabase Capital SCR, SA",VC Fundraising,FCR Novabase Inovação e Internacionalização,1,2011,
Limited Partners (LPs)/SCR´s,"Novabase Capital SCR, SA",Management entity (or controlling entity),FCR Novabase Inovação e Internacionalização,1,2011,
Limited Partners (LPs)/SCR´s,"Novabase Capital SCR, SA",Management entity (or controlling entity),FCR Novabase Capital,1,2005,
Limited Partners (LPs)/SCR´s,"Novabase Capital SCR, SA",Investment,"COLLAB - SOLUÇÕES INFORMÁTICAS DE COMUNICAÇÃO E COLABORAÇÃO, S.A.",1,2013,
Limited Partners (LPs)/SCR´s,"Naves ­Sociedade de Capital de Risco, S.A.",Investment,"BABYBOOK, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"BUSY ANGELS, SCR, S.A",Management entity (or controlling entity),"Busy Angels, SGPS",1,2015,
Limited Partners (LPs)/SCR´s,"ISQ SCR, SA",Management entity (or controlling entity),Fundo ISQ Capital,1,2005,
Limited Partners (LPs)/SCR´s,"ISQ SCR, SA",Management entity (or controlling entity),FCR ASK Capital,1,2011,
Limited Partners (LPs)/SCR´s,"ISQ SCR, SA",Management entity (or controlling entity),FCR ASK Celta,1,2011,
Limited Partners (LPs)/SCR´s,"Beta Capital SCR, SA",Management entity (or controlling entity),FCR Beta Early Stages,1,2005,
Limited Partners (LPs)/SCR´s,"Beta Capital SCR, SA",Management entity (or controlling entity),FCR Beta Ciências da Vida,1,2011,
Limited Partners (LPs)/SCR´s,"Beta Capital SCR, SA",Investment,GENE PREDIT S.A.,1,2012,
Limited Partners (LPs)/SCR´s,"Critical Ventures, SCR, SA",Management entity (or controlling entity),FCR Critical Ventures I,1,2011,
Limited Partners (LPs)/SCR´s,"Critical Ventures, SCR, SA",Management entity (or controlling entity),Critical SGPS (holding),1,2012,
Limited Partners (LPs)/SCR´s,"Critical Ventures, SCR, SA",Investment,"WFSW, S.A.",1,2012,
Limited Partners (LPs)/SCR´s,"Critical Ventures, SCR, SA",Investment,WATCHFUL SOFTWARE,1,2012,
Limited Partners (LPs)/SCR´s,"Critical Ventures, SCR, SA",Investment,CRITICAL LINKS S.A.,1,2007,
Limited Partners (LPs)/SCR´s,"Critical Ventures, SCR, SA",Investment,"CRITICAL MANUFACTURING, S.A.",1,2009,
SPV´s,BIOCANT VENTURES LDA,Investment,THELIAL TECHNOLOGIES S.A.,1,2010,
SPV´s,BIOCANT VENTURES LDA,Investment,"MATERA, LDA",1,2011,
SPV´s,BIOCANT VENTURES LDA,Investment,GENE PREDIT S.A.,1,2012,
SPV´s,"EV Tecsaúde, SGPS, SA",Investment,FÓRMULA DA AVÓ - LDA,1,2013,
SPV´s,"Pathena, SGPS, S.A.",Investment,STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.,1,2011,
SPV´s,"Pathena, SGPS, S.A.",Investment,"STOCK BEATS, S.A.",1,2014,
SPV´s,"Pathena, SGPS, S.A.",Investment,NMUSIC S.A.,1,2013,
SPV´s,"Pathena, SGPS, S.A.",Management entity (or controlling entity),Pathena SICAR,1,2012,
SPV´s,"Pathena, SGPS, S.A.",Investment,"IM3DICAL, S.A.",1,2013,
SPV´s,"Venture Catalysts, Lda",Investment,"IMMUNETHEP, S.A.",1,2015,
SPV´s,Dueto SGPS,Investment,"MOVVO, S.A.",1,2011,
SPV´s,"BLUE BUSINESS, SGPS, SA",Investment,"IMOBILEMAGIC - MOBILE EXPERIENCES, LDA",1,2010,
SPV´s,"Sail Away, Lda",Investment,"FABER VENTURES, S.A.",1,2013,
SPV´s,"Eggnest, SGPS, S.A.",Investment,"PROCESSWARE - SOLUÇÕES INFORMÁTICAS, S.A.",1,2014,
SPV´s,"Eggnest, SGPS, S.A.",Investment,"FAIRWAY, MEDICAL TOURISM PORTUGAL, S.A.",1,2013,
SPV´s,PNV Capital,Investment,"ZUVI NOVA, S.A.",1,2011,
SPV´s,PNV Capital,Investment,"WEBANKOR, S.A.",1,2013,
SPV´s,PNV Capital,Investment,"MAGNOMICS, S.A.",1,2014,
SPV´s,PNV Capital,Investment,"MAPS WITH LIFE, S.A. - EM LIQUIDAÇÃO",1,2013,2016
SPV´s,PNV Capital,Investment,"FABER VENTURES, S.A.",1,2013,
SPV´s,PNV Capital,Investment,"GLOBAL INPAKT, S.A.",1,2013,2015
SPV´s,"TIC Risco, SGPS, SA",Investment,"FOLLOW INSPIRATION, S.A.",1,2014,
SPV´s,"Best Horizon­SGPS, Unipessoal Lda.",Investment,"FOLLOWPRICE, S.A.",1,2015,
SPV´s,RedStar,Investment,NUTRI VENTURES CORPORATION - NVC S.A.,1,2010,
SPV´s,"Skybusiness, S.A.",Investment,"PEEK HEALTH, S.A.",1,2015,
SPV´s,Seedcamp,Investment,QAMINE LIMITED,1,2015,
SPV´s,Sequoia Saúde e Tecnologia,Investment,"RETMARKER, S.A.",1,2011,
SPV´s,"Daninves, SGPS, S.A.",Investment,STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.,1,2011,
SPV´s,SONAE IM,Investment,"MOVVO, S.A.",1,2011,
SPV´s,"EntreParentesis ­SGPS,S.A.",Investment,"MYGON, S.A.",1,2012,
SPV´s,"AFSA ­SGPS, S.A",Investment,"MYGON, S.A.",1,2012,
SPV´s,"B31­ Investimentos, Lda­",Investment,"MYGON, S.A.",1,2012,
SPV´s,"Innovation Makers ­ serviços de Consultoria em Inovação, Lda­",Investment,"MYGON, S.A.",1,2012,
Targeted companies (startups),"UNBABEL, INC.",Management entity (or controlling entity),"UNBABEL, LDA",1,2014,
Other,Ryan Petersen,Investment,"UNBABEL, INC.",1,2014,
Other,David Peterson,Investment,"UNBABEL, INC.",1,2014,
Other,Young Guo,Investment,"UNBABEL, INC.",1,2014,
Other,Raymond Tonsing,Investment,"UNBABEL, INC.",1,2014,
Other,Rob Emrich,Investment,"UNBABEL, INC.",1,2014,
Other,Roger Dickey,Investment,"UNBABEL, INC.",1,2014,
Other,Digital Garage,Investment,"UNBABEL, INC.",1,2014,
Other,Adeyemi Ajao,Investment,"UNBABEL, INC.",1,2014,
Other,Founding Team,Investment,"UNBABEL, LDA",1,2014,
Other,Elad Gil,Investment,"UNBABEL, INC.",1,2014,
Other,Kevin Rose,Investment,"UNBABEL, INC.",1,2014,
Other,"CIENCIVEST, VALORIZAÇÃO ECONÓMICA DA CIÊNCIA, S.A.",Investment,"KINEMATIX SENSE, S.A.",1,2008,
Other,Plug & Play Accelarator,Investment,"MUZZLEY, S.A.",1,2012,
Other,Principle Power Unipessoal LDA,Investment,"WINDPLUS, S.A.",1,2009,
Other,AIP –CCI,VC Fundraising,FCR Portugal Ventures Universitas,1,2011,
