Type,Name,Description,Image,Reference,NACE,Country,starting date,ending date
Targeted companies (startups),"ADFAMILIES PUBLICIDADE, S.A.",,,,"M - Professional, scientific and technical activities",PT,2012,
Targeted companies (startups),"5ENSESINFOOD, S.A.",,,,C - Manufacturing,PT,2012,
Targeted companies (startups),A123Systems,,,,Foreign Company,USA,2001,
Targeted companies (startups),"ABYSSAL, S.A.",,,,J - Information and communication,PT,2012,
Venture Capital Funds,FCR FAI Energias,,,,K - Financial and insurance activities,PT,2009,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures,,,,K - Financial and insurance activities,PT,1993,2014
Venture Capital Funds,Oxy Capital Fundo Mezzanine,,,,K - Financial and insurance activities,PT,2014,
Venture Capital Funds,FCR Portugal Ventures,,,,K - Financial and insurance activities,PT,1999,2014
Venture Capital Funds,FCR Revitalizar Norte,,,,K - Financial and insurance activities,PT,2013,
Venture Capital Funds,FCR ESV III,,,,K - Financial and insurance activities,PT,2009,
Venture Capital Funds,FCR Fast Change II,,,,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Global 2,,,,K - Financial and insurance activities,PT,1999,
Venture Capital Funds,FCR Empreender Mais,,,,K - Financial and insurance activities,PT,2009,
Venture Capital Funds,FCR Caixa Tech Transfer Accelerator Ventures,,,,K - Financial and insurance activities,PT,2015,
Venture Capital Funds,FCR Beta Early Stages,,,,K - Financial and insurance activities,PT,2005,
Venture Capital Funds,Fundo de Sindicação de Capital de Risco PME ­IAPMEI,,,,K - Financial and insurance activities,PT,2003,
Venture Capital Funds,FCR Capital Criativo I,,,,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR ESV Inovação & Internacionalização,,,,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,Fundo de Capital de Risco AICEP­ Capital Global Grande Projectos de Investimento,,,,K - Financial and insurance activities,PT,2004,
Venture Capital Funds,Fundo de Capital de Risco AICEP Capital Global III,,,,K - Financial and insurance activities,PT,2004,
Venture Capital Funds,Fundo de Capital de Risco Dinamização Turística,,,,K - Financial and insurance activities,PT,2009,
Venture Capital Funds,FCR Portugal Ventures Early Stages,,,,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,,,,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR Portugal Ventures Universitas,,,,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR ESV II,,,,K - Financial and insurance activities,PT,2006,
Venture Capital Funds,FCR FIAEA ­ Fundo de Investimento de Apoio ao Empreendorismo dos Açores,,,,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR ASK Celta,,,,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR PV ACTEC,,,,K - Financial and insurance activities,PT,2006,2014
Venture Capital Funds,FCR Minho Inovação e Internacionalização,,,,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Valor 2,,,,K - Financial and insurance activities,PT,1999,
Venture Capital Funds,FCR ASK Capital,,,,K - Financial and insurance activities,PT,2011,
SPV´s,"SharkAB ­ Consultores, Lda",,,,"M - Professional, scientific and technical activities",PT,2012,
SPV´s,Magnum Capital Partners,,,,K - Financial and insurance activities,PT,2012,
SPV´s,"Busy Angels, SGPS",,,,K - Financial and insurance activities,PT,2008,
SPV´s,"Gegnum ­Gestão e Investimentod, lda",,,,"M - Professional, scientific and technical activities",PT,2008,
SPV´s,"Intercapital ­Investimento e Gestão de Activos, S.A.",,,,K - Financial and insurance activities,PT,2012,
SPV´s,"Binteractive, Lda",,,,J - Information and communication,PT,2010,
SPV´s,"Faber Investments,SGPS",,,,K - Financial and insurance activities,PT,2013,
SPV´s,BrainInvest,,,,"M - Professional, scientific and technical activities",PT,2010,
SPV´s,"IA - FCI Ciências da Vida SGPS, SA",,,,K - Financial and insurance activities,PT,2011,
Targeted companies (startups),"ZUVI NOVA, S.A.",,,,J - Information and communication,PT,2009,
SPV´s,"Tagus Innovation for Growth SGPS, SA",,,,K - Financial and insurance activities,PT,2010,
SPV´s,"TEX Risco, SGPS, SA",,,,K - Financial and insurance activities,PT,2010,
SPV´s,"A2B, SGPS",,,,K - Financial and insurance activities,PT,2010,
SPV´s,"Capital Disperso, LDA",,,,K - Financial and insurance activities,PT,2015,
SPV´s,Vallis Sustainable Investments I,,,,K - Financial and insurance activities,PT,2011,
SPV´s,Critical SGPS (holding),,,,K - Financial and insurance activities,PT,2007,
SPV´s,"Fast Sharks Invest, LDA",,,,"M - Professional, scientific and technical activities",PT,2015,
SPV´s,"The Edge, SGPS S.A",,,,K - Financial and insurance activities,PT,2014,
SPV´s,"SMARTEQUITY SGPS, LDA",,,,K - Financial and insurance activities,PT,2013,
SPV´s,"Vallis ­ SGPS, S.A.",,,,K - Financial and insurance activities,PT,2012,
SPV´s,"Shilling Capital Partners, SGPS, Lda",,,,K - Financial and insurance activities,PT,2010,
Targeted companies (startups),"WEBANKOR, S.A.",,,,J - Information and communication,PT,2012,
Targeted companies (startups),"WFSW, S.A.",,,,J - Information and communication,PT,2012,
Targeted companies (startups),"WEDELIVERAWESOMEAPPS, S.A.",,,,J - Information and communication,PT,2013,
Targeted companies (startups),Watson Brown,,,,Foreign Company,USA,1997,
Targeted companies (startups),WATCHFUL SOFTWARE,,,,Foreign Company,USA,2012,
Targeted companies (startups),"WATT-IS, S.A.",,,,"M - Professional, scientific and technical activities",PT,2012,
Targeted companies (startups),"VENIAM, INC.",,,,Foreign Company,USA,2012,
Targeted companies (startups),"VENIAM, UNIPESSOAL LDA",,,,J - Information and communication,PT,2012,
Targeted companies (startups),UNIPLACES LIMITED,,,,J - Information and communication,UK,2013,
Targeted companies (startups),"USC INTERNACIONAL, S.A.",,,,J - Information and communication,PT,2011,
Targeted companies (startups),"UNIVERSITYPLACES, SERVIÇOS DE INTERNET, LDA",,,,J - Information and communication,PT,2011,
Targeted companies (startups),"YOUNGSTORIES, S.A.",,,,J - Information and communication,PT,2011,
Targeted companies (startups),"ZARPH, S.A.",,,,"M - Professional, scientific and technical activities",PT,2009,
Targeted companies (startups),"XHOCKWARE, S.A.",,,,J - Information and communication,PT,2014,
Targeted companies (startups),"YD YNVISIBLE, S.A.",,,,"M - Professional, scientific and technical activities",PT,2010,
Targeted companies (startups),"YDREAMS - INFORMÁTICA, S.A.",,,,J - Information and communication,PT,2000,
Targeted companies (startups),WISE CONNECT S.A.,,,,J - Information and communication,PT,2014,
Targeted companies (startups),"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",,,,J - Information and communication,PT,2009,
Targeted companies (startups),"WIZI TO FIND, S.A.",,,,J - Information and communication,PT,2006,
Targeted companies (startups),"WHIZZTEK, S.A. - EM LIQUIDAÇÃO",,,,J - Information and communication,PT,2012,2015
Targeted companies (startups),"WINDPLUS, S.A.",,,,"M - Professional, scientific and technical activities",PT,2009,
SPV´s,Brains2Market,,,,"M - Professional, scientific and technical activities",PT,2010,
SPV´s,"Talent Minds,Lda",,,,"M - Professional, scientific and technical activities",PT,2013,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",,,,K - Financial and insurance activities,PT,2003,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",,,,K - Financial and insurance activities,PT,2003,
SPV´s,BrainCapital,,,,"M - Professional, scientific and technical activities",PT,2010,
SPV´s,"New Ventures SGPS, SA",,,,K - Financial and insurance activities,PT,2010,
SPV´s,"FJR, SGPS, S.A",,,,K - Financial and insurance activities,PT,2006,
SPV´s,"Agro Consultores,Lda",,,,"M - Professional, scientific and technical activities",PT,2013,
SPV´s,"A. Silva Matos II - Investimentos, SA",,,,K - Financial and insurance activities,PT,2009,
SPV´s,IA - FCI - TICE,,,,K - Financial and insurance activities,PT,2011,
Limited Partners (LPs)/SCR´s,"ES Ventures SCR, SA",,,,K - Financial and insurance activities,PT,2006,
Limited Partners (LPs)/SCR´s,"Capital Criativo SCR, SA",,,,K - Financial and insurance activities,PT,2009,
Limited Partners (LPs)/SCR´s,Haitong Capital SCR SA,,,,K - Financial and insurance activities,PT,2003,
Limited Partners (LPs)/SCR´s,"Change Partners SCR, SA",,,,K - Financial and insurance activities,PT,2008,
Limited Partners (LPs)/SCR´s,"2BPARTNER SCR, SA",,,,K - Financial and insurance activities,PT,2008,
Limited Partners (LPs)/SCR´s,"Novabase Capital SCR, SA",,,,K - Financial and insurance activities,PT,2004,
Limited Partners (LPs)/SCR´s,"Naves ­Sociedade de Capital de Risco, S.A.",,,,K - Financial and insurance activities,PT,2007,
Limited Partners (LPs)/SCR´s,"BUSY ANGELS, SCR, S.A",,,,K - Financial and insurance activities,PT,2015,
Limited Partners (LPs)/SCR´s,"ISQ SCR, SA",,,,K - Financial and insurance activities,PT,2003,
Limited Partners (LPs)/SCR´s,"Beta Capital SCR, SA",,,,K - Financial and insurance activities,PT,2004,
Limited Partners (LPs)/SCR´s,"Critical Ventures, SCR, SA",,,,K - Financial and insurance activities,PT,2009,
SPV´s,BIOCANT VENTURES LDA,,,,"M - Professional, scientific and technical activities",PT,2006,
SPV´s,"EV Tecsaúde, SGPS, SA",,,,K - Financial and insurance activities,PT,2010,
SPV´s,"Pathena, SGPS, S.A.",,,,K - Financial and insurance activities,PT,2005,
SPV´s,"Venture Catalysts, Lda",,,,"M - Professional, scientific and technical activities",PT,2011,
SPV´s,Dueto SGPS,,,,K - Financial and insurance activities,PT,2008,
SPV´s,"BLUE BUSINESS, SGPS, SA",,,,K - Financial and insurance activities,PT,2010,
SPV´s,"Sail Away, Lda",,,,"M - Professional, scientific and technical activities",PT,2010,
SPV´s,"Eggnest, SGPS, S.A.",,,,K - Financial and insurance activities,PT,2010,
SPV´s,PNV Capital,,,,K - Financial and insurance activities,PT,2010,
SPV´s,"TIC Risco, SGPS, SA",,,,K - Financial and insurance activities,PT,2010,
SPV´s,"Best Horizon­SGPS, Unipessoal Lda.",,,,K - Financial and insurance activities,PT,2014,
SPV´s,RedStar,,,,K - Financial and insurance activities,PT,2008,
SPV´s,"Skybusiness, S.A.",,,,"M - Professional, scientific and technical activities",PT,2014,
SPV´s,Seedcamp,,,,K - Financial and insurance activities,UK,2007,
SPV´s,Sequoia Saúde e Tecnologia,,,,K - Financial and insurance activities,PT,2010,
SPV´s,"Daninves, SGPS, S.A.",,,,K - Financial and insurance activities,PT,2007,
SPV´s,SONAE IM,,,,K - Financial and insurance activities,PT,2011,
SPV´s,"EntreParentesis ­SGPS,S.A.",,,,K - Financial and insurance activities,PT,2007,
SPV´s,"AFSA ­SGPS, S.A",,,,K - Financial and insurance activities,PT,2012,
SPV´s,"B31­ Investimentos, Lda­",,,,L - Real estate activities,PT,2012,
SPV´s,"Innovation Makers ­ serviços de Consultoria em Inovação, Lda­",,,,J - Information and communication,PT,2009,
Targeted companies (startups),MORNING HEROES S.A.,,,,J - Information and communication,PT,2015,
Targeted companies (startups),"MOODOPTIC, S.A.",,,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,2006,
Targeted companies (startups),"MICE - MOLDS AND INJECTED COMPONENTS ENGINEERING, S.A.",,,,"M - Professional, scientific and technical activities",PT,2013,
Targeted companies (startups),"MOBIQUEUE, S.A.",,,,J - Information and communication,PT,2013,
Targeted companies (startups),"MATERA, LDA",,,,"M - Professional, scientific and technical activities",PT,2009,
Targeted companies (startups),NMUSIC S.A.,,,,J - Information and communication,PT,2010,
Targeted companies (startups),"NONIUSSOFT, SOFTWARE E CONSULTORIA PARA TELECOMUNICAÇÕES, S.A.",,,,J - Information and communication,PT,2007,
Targeted companies (startups),Nanosolar,,,,Foreign Company,USA,2002,
Targeted companies (startups),"MYGON, S.A.",,,,"M - Professional, scientific and technical activities",PT,2011,
Targeted companies (startups),"MOVVO, S.A.",,,,J - Information and communication,PT,2009,
Targeted companies (startups),"MUZZLEY, S.A.",,,,J - Information and communication,PT,2012,
Targeted companies (startups),Ophtalmopharma,,,,Foreign Company,CH,2003,
Targeted companies (startups),"OMNIFLOW, S.A",,,,"M - Professional, scientific and technical activities",PT,2011,
Targeted companies (startups),Oceanlinx,,,,Foreign Company,AUS,1999,
Targeted companies (startups),"NUTRIGREEN, S.A.",,,,C - Manufacturing,PT,2007,
Targeted companies (startups),NUTRI VENTURES CORPORATION - NVC S.A.,,,,N - Administrative and support service activities,PT,2010,
Targeted companies (startups),"PEPFEED, S,A",,,,J - Information and communication,PT,2013,
Targeted companies (startups),"PEEK HEALTH, S.A.",,,,J - Information and communication,PT,2015,
Targeted companies (startups),"PASSWORKS, S.A.",,,,J - Information and communication,PT,2014,
Targeted companies (startups),"OUTSYSTEMS - SOFTWARE EM REDE, S.A.",,,,J - Information and communication,PT,2001,
Targeted companies (startups),Orankl,,,,Foreign Company,USA,2013,
Targeted companies (startups),"IMMUNETHEP, S.A.",,,,"M - Professional, scientific and technical activities",PT,2013,
Targeted companies (startups),"IMOBILEMAGIC - MOBILE EXPERIENCES, LDA",,,,J - Information and communication,PT,2010,
Targeted companies (startups),"INDIE CAMPERS, S.A.",,,,"R - Arts, entertainment and recreation",PT,2013,
Targeted companies (startups),"ICLIO, S.A.",,,,J - Information and communication,PT,2009,
Targeted companies (startups),"IM3DICAL, S.A.",,,,"M - Professional, scientific and technical activities",PT,2009,
Targeted companies (startups),JDCPhosphate,,,,Foreign Company,USA,1985,
Targeted companies (startups),"JSCRAMBLER, S.A.",,,,J - Information and communication,PT,2007,
Targeted companies (startups),INVINE,,,,Foreign Company,USA,2012,
Targeted companies (startups),Iosil Energy,,,,Foreign Company,USA,2007,
Targeted companies (startups),"ISA - INTELLIGENT SENSING ANYWHERE, S.A.",,,,"M - Professional, scientific and technical activities",PT,2010,
Targeted companies (startups),LIVE CONTENT S.A,,,,J - Information and communication,PT,2009,
Targeted companies (startups),"LUSOEDUC - INFORMAÇÃO E SERVIÇOS, S.A.",,,,J - Information and communication,PT,2009,
Targeted companies (startups),"LIVIAN TECHNOLOGIES, LDA",,,,J - Information and communication,PT,2014,
Targeted companies (startups),"LASERLEAP TECHNOLOGIES,S.A.",,,,"M - Professional, scientific and technical activities",PT,2011,
Targeted companies (startups),"KINEMATIX SENSE, S.A.",,,,C - Manufacturing,PT,2007,
Targeted companies (startups),"LIQUID DATA INTELLIGENCE, S.A.",,,,J - Information and communication,PT,2014,
Targeted companies (startups),MAGPOWER - SOLUÇÕES DE ENERGIA S.A.,,,,C - Manufacturing,PT,2007,
Targeted companies (startups),"MAGNOMICS, S.A.",,,,"M - Professional, scientific and technical activities",PT,2013,
Targeted companies (startups),"MAPS WITH LIFE, S.A. - EM LIQUIDAÇÃO",,,,J - Information and communication,PT,2013,2016
Targeted companies (startups),"LUZITIN, S.A.",,,,"M - Professional, scientific and technical activities",PT,2009,
Targeted companies (startups),"LYMPHACT - LYMPHOCYTE ACTIVATION TECHNOLOGIES, S.A.",,,,J - Information and communication,PT,2013,
Targeted companies (startups),Spectrum Bridge,,,,Foreign Company,USA,2007,
Targeted companies (startups),"SOUSACAMP, SGPS S.A.",,,,K - Financial and insurance activities,PT,2007,
Targeted companies (startups),STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.,,,,C - Manufacturing,PT,2007,
Targeted companies (startups),"SPHERAA - PRODUÇÃO DE ENERGIA, LDA",,,,"D - Electricity, gas, steam and air conditioning supply",PT,2008,
Targeted companies (startups),"SPHERE ULTRAFAST PHOTONICS, S.A.",,,,C - Manufacturing,PT,2013,
Targeted companies (startups),"STOPLINE FILMS - PRODUÇÃO DE AUDIOVISUAIS, LDA",,,,J - Information and communication,PT,2004,
Targeted companies (startups),STREAMBOLICO S.A.,,,,J - Information and communication,PT,2012,
