Type,Name,Description,Image,Reference,NACE,Country,starting date,ending date
Limited Partners (LPs)/SCR´s - Outside PT,Global Accelerator Year 3 B.V,,,,Foreign Company,NL,2015,
Limited Partners (LPs)/SCR´s - Outside PT,Plopper B.V.,,,,Foreign Company,NL,2015,
Limited Partners (LPs)/SCR´s - Outside PT,Capital One Growth Ventures,,,,K - Financial and insurance activities,USA,2014,
Limited Partners (LPs)/SCR´s - Outside PT,Sapphire Ventures,,,,K - Financial and insurance activities,USA,2005,
Limited Partners (LPs)/SCR´s - Outside PT,Data Collective,,,,K - Financial and insurance activities,USA,2011,
Limited Partners (LPs)/SCR´s - Outside PT,Wefunder,,,,Foreign Company,USA,2011,
Limited Partners (LPs)/SCR´s - Outside PT,Matrix Partners,,,,Foreign Company,USA,1977,
Limited Partners (LPs)/SCR´s - Outside PT,FundersClub,,,,Foreign Company,USA,2012,
Limited Partners (LPs)/SCR´s,"Hovione Capital, SCR S.A.",,,,K - Financial and insurance activities,PT,2015,
Other,BIOCANT ­ ASSOCIAÇÃO DE TRANSFERÊNCIA DE TECNOLOGIA,,,,S - Other services activities,PT,2011,
Other,Indexignition - Investimentos e Consultoria Lda,,,,"M - Professional, scientific and technical activities",PT,2014,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,,,,K - Financial and insurance activities,PT,2008,
Limited Partners (LPs)/SCR´s,Oxy Capital - SCR. S.A.,,,,K - Financial and insurance activities,PT,2012,
Limited Partners (LPs)/SCR´s,"BANIF CAPITAL - SOCIEDADE DE CAPITAL DE RISCO, SA",,,,K - Financial and insurance activities,PT,2003,
Limited Partners (LPs)/SCR´s,Explorer Investments SCR S.A.,,,,K - Financial and insurance activities,PT,2003,
Limited Partners (LPs)/SCR´s,"PME Capital ­Sociedade Portuguesa de Capital de Risco, S.A",,,,K - Financial and insurance activities,PT,2001,
Other,IAPMEI,,,,O - Public administration and defence; compulsory social security,PT,1999,
Other,Região Autonoma dos Açores,,,,O - Public administration and defence; compulsory social security,PT,2011,
Other,Turismo de Portugal,,,,O - Public administration and defence; compulsory social security,PT,2011,
Other,ANJE,,,,S - Other services activities,PT,2011,
Other,Ass. p/Desenvolvimento e Investigação de Viseu,,,,"M - Professional, scientific and technical activities",PT,2011,
Other,Safeinterest,,,,"M - Professional, scientific and technical activities",PT,2011,
Other,Unknown,,,,unknow,unknow,,
Other,Fundação Luso Americana para o Desenvolvimento (“FLAD”),,,,S - Other services activities,PT,2005,
Other,AEP - Associação Empresarial de Portugal (ou entidade por si dominada),,,,S - Other services activities,PT,2005,
Other,"corporate investment arms, family trusts and private individuals",,,,unknow,unknow,2006,
Other,F PENSOESSANTANDER,,,,K - Financial and insurance activities,PT,2008,
