Source,Target,Type,id,label,timeset,weight,from type,edge,starting date,ending date
FCR Critical Ventures I,"CRITICAL MATERIALS, S.A.",Directed,136,,"<[2011.0, Infinity]>",1.0,Venture Capital Funds,Investment,2011,
FCR Portugal Ventures Valor,BIOSURFIT S.A.,Directed,137,,"<[2006.0, Infinity]>",1.0,Venture Capital Funds,Investment,2006,
Fundo de Capital de Risco para Investidores Qualificados PME Investimentos­ TIEC,BIOSURFIT S.A.,Directed,138,,"<[2004.0, Infinity]>",1.0,Venture Capital Funds,Investment,2004,
"FABER VENTURES, S.A.","UNBABEL, INC.",Directed,139,,"<[2014.0, Infinity]>",1.0,Targeted companies (startups),Investment,2014,
"FABER VENTURES, S.A.","PASSWORKS, S.A.",Directed,140,,"<[2014.0, Infinity]>",1.0,Targeted companies (startups),Investment,2014,
"FABER VENTURES, S.A.","QAMINE PORTUGAL, S.A",Directed,141,,"<[2013.0, Infinity]>",1.0,Targeted companies (startups),Investment,2013,
"FABER VENTURES, S.A.",QAMINE LIMITED,Directed,142,,"<[2015.0, Infinity]>",1.0,Targeted companies (startups),Investment,2015,
"FABER VENTURES, S.A.","YOUNGSTORIES, S.A.",Directed,143,,"<[2013.0, Infinity]>",1.0,Targeted companies (startups),Investment,2013,
"FABER VENTURES, S.A.","CHIC BY CHOICE, S.A.",Directed,144,,"<[2014.0, Infinity]>",1.0,Targeted companies (startups),Investment,2014,
"FABER VENTURES, S.A.","ALTURA PUBLISHING, S.A.",Directed,145,,"<[2014.0, Infinity]>",1.0,Targeted companies (startups),Investment,2014,
"FABER VENTURES, S.A.","LIQUID DATA INTELLIGENCE, S.A.",Directed,146,,"<[2014.0, Infinity]>",1.0,Targeted companies (startups),Investment,2014,
"FABER VENTURES, S.A.","GLEAM, S.A.",Directed,147,,"<[2013.0, Infinity]>",1.0,Targeted companies (startups),Investment,2013,
"FABER VENTURES, S.A.","GETSOCIAL, S.A.",Directed,148,,"<[2013.0, Infinity]>",1.0,Targeted companies (startups),Investment,2013,
ALFAMA INC.,ALFAMA - INVESTIGAÇÃO E DESENVOLVIMENTO DE PRODUTOS FARMACÊUTICOS LDA,Directed,149,,"<[2013.0, 2014.0]>",1.0,Targeted companies (startups),Investment,2013,2014
FCR FAI Energias,"WINDPLUS, S.A.",Directed,150,,"<[2009.0, Infinity]>",1.0,Venture Capital Funds,Investment,2009,
PME Investimentos – Sociedade de Investimento S.A.,Fundo de Sindicação de Capital de Risco PME – IAPMEI (“FSCR PME IAPMEI”),Directed,151,,"<[2003.0, Infinity]>",1.0,Venture Capital Funds,Management entity (or controlling entity),2003,
Fundo de Capital de Risco Portugal Ventures,"MAGNOMICS, S.A.",Directed,152,,"<[2014.0, 2014.0]>",1.0,Venture Capital Funds,Investment,2014,2014
Fundo de Capital de Risco Portugal Ventures,"MAGNOMICS, S.A.",Directed,153,,"<[1993.0, 2014.0]>",1.0,Venture Capital Funds,Investment,1993,2014
Oxy Capital Fundo Mezzanine,"NONIUSSOFT, SOFTWARE E CONSULTORIA PARA TELECOMUNICAÇÕES, S.A.",Directed,154,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Portugal Ventures,"PROCESSWARE - SOLUÇÕES INFORMÁTICAS, S.A.",Directed,155,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Revitalizar Norte,NMUSIC S.A.,Directed,156,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR ESV III,SafetyPay,Directed,157,,"<[2008.0, Infinity]>",1.0,Venture Capital Funds,Investment,2008,
FCR ESV III,Spectrum Bridge,Directed,158,,"<[2008.0, Infinity]>",1.0,Venture Capital Funds,Investment,2008,
FCR ESV III,Ubiquity Global Services,Directed,159,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR ESV III,"NUTRIGREEN, S.A.",Directed,160,,"<[2009.0, Infinity]>",1.0,Venture Capital Funds,Investment,2009,
FCR ESV III,Petra Systems,Directed,161,,"<[2010.0, Infinity]>",1.0,Venture Capital Funds,Investment,2010,
FCR ESV III,"QAMINE PORTUGAL, S.A",Directed,162,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR ESV III,Watson Brown,Directed,163,,"<[2008.0, Infinity]>",1.0,Venture Capital Funds,Investment,2008,
FCR ESV III,"DOMATICA ­ GLOBAL SOLUTIONS, S.A.",Directed,164,,"<[2011.0, Infinity]>",1.0,Venture Capital Funds,Investment,2011,
FCR ESV III,Current,Directed,165,,"<[2011.0, 2013.0]>",1.0,Venture Capital Funds,Investment,2011,2013
FCR ESV III,A123Systems,Directed,166,,"<[2009.0, 2012.0]>",1.0,Venture Capital Funds,Investment,2009,2012
FCR ESV III,"ADVANCED CYCLONE SYSTEMS, S.A.",Directed,167,,"<[2009.0, Infinity]>",1.0,Venture Capital Funds,Investment,2009,
FCR ESV III,JDCPhosphate,Directed,168,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR ESV III,"MUZZLEY, S.A.",Directed,169,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR ESV III,"MUZZLEY, S.A.",Directed,170,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR ESV III,"MUZZLEY, S.A.",Directed,171,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR ESV III,MAGPOWER - SOLUÇÕES DE ENERGIA S.A.,Directed,172,,"<[2011.0, Infinity]>",1.0,Venture Capital Funds,Investment,2011,
FCR Fast Change II,STREAMBOLICO S.A.,Directed,173,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Fast Change II,"SWORD HEALTH, S.A",Directed,174,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Fast Change II,"CELL2B - ADVANCED THERAPEUTICS, S.A.",Directed,175,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR Fast Change II,"EIDT - ENGENHARIA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO, S.A.",Directed,176,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR Fast Change II,"CONVERDE, S.A.",Directed,177,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR Fast Change II,"5ENSESINFOOD, S.A.",Directed,178,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
