Taguspark, SA;FCR ISTART I
Sindicato Nac. Quadros e Técnicos Bancários;FCR Portugal Ventures Universitas
Fundo ISQ Capital;IBERMAROS-EQUIPAMENTOS INDUSTRIAIS, S.A.;SPHERAA - PRODUÇÃO DE ENERGIA, LDA
Investo;UNBABEL, INC.
Cisco Investments;VENIAM, INC.
Herrick Partners;YDREAMS - INFORMÁTICA, S.A.
Mota­ Engil, Engenharia e Construção , S. A.;BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.
NEUTROPLAST ­ INDÚSTRIA DE EMBALAGENS PLÁSTICAS S.A.;BEYONDEVICES, S.A.
Grupo EDP;EIDT - ENGENHARIA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO, S.A.;WINDPLUS, S.A.;EDP Ventures SGPS;EDP Inovação
Critical Software, S.A.;CBRA GENOMICS, S.A.
EDP Inovação;WINDPLUS, S.A.
EDP Ventures SGPS;FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.
Brisa, SA;FCR F-HITEC;FCR ISTART I
SIBS;FCR F-HITEC
Verizon Ventures;VENIAM, INC.
Cane Investments LLC;VENIAM, INC.
Yamaha Motor Ventures;VENIAM, INC.
Orange Digital Ventures;VENIAM, INC.
Liberty Global Ventures;VENIAM, INC.
CUF ­ Companhia União Fabril, SGPS, S.A;YD YNVISIBLE, S.A.
Beyond Newsgen ­ Soluções de Gestão e Personalização de Conteúdos Lda;WIZI TO FIND, S.A.
ENERNOVA - Novas Energias S.A.;WINDPLUS, S.A.
ISCTE;BGI SA;FCR Portugal Ventures Universitas
Universidade do Porto;FLUIDINOVA, S.A.;MAGNOMICS, S.A.;KINEMATIX SENSE, S.A.;BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.;PETSYS ELECTRONICS - MEDICAL PET DETECTORS,;SMARTWATT - ENERGY SERVICES, S.A.
Inesc ID ­ Instituto de Engenharia de Sistemas e Computadores, Investigação e Desenvolvimento;COREWORKS - PROJECTOS DE CIRCUITOS E SISTEMAS ELECTRÓNICOS, S.A.
BGI SA;MOVVO, S.A.;D-ORBIT PT, LDA;CHANGING EXPERIENCE, S.A.;VENIAM, INC.
BPI;FCR Portugal Ventures ACTEC II;FCR Portugal Ventures Turismo Inovação;Pathena SICAR;FCR F-HITEC
BES/Novo Banco;FCR ESV Inovação & Internacionalização;FCR PME / Novo Banco;FCR ISTART I
Novo Banco (vendido SONAE IM em 2016);FCR ESV III;FCR ESV II
DST;FCR Minho Inovação e Internacionalização
SONAE Capital;FCR F-HITEC
INSTITUTO DE SOLDADURA E QUALIDADE;SPHERAA - PRODUÇÃO DE ENERGIA, LDA
PKM;FCR Minho Inovação e Internacionalização
IMPRESA;NONIUSSOFT, SOFTWARE E CONSULTORIA PARA TELECOMUNICAÇÕES, S.A.
CGC Centro de Genética Clínica e Patologia, S.A.;STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.
Bluepharma ­ Indústria farmacêutica,S.A.;TREAT U, S.A.
LUSÁGUA ­ SERVIÇOS AMBIENTAIS, S.A.;SPHERAA - PRODUÇÃO DE ENERGIA, LDA
REPSOL;WINDPLUS, S.A.
Workday Ventures;UNBABEL, INC.
EXCITING SPACE, S.A.
EQUIGERMINAL, S.A.
EXAGO VENTURES, S.A.
EPEDAL, SGPS S.A.
ENEIDA, WIRELESS & SENSORS, S.A.
FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.
FASTINOV, S.A.
FAIRWAY, MEDICAL TOURISM PORTUGAL, S.A.
Farfetch UK Limited
EXOGENUS THERAPEUTICS, S.A.
DOCTORGUMMY, LDA
DISPLAX, S.A.
D­ORBIT S.R.L.;D-ORBIT PT, LDA
D-ORBIT PT, LDA
Current
EIDT - ENGENHARIA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO, S.A.
ECT - BUSINESS OPORTUNITY, COMPRA E VENDA DE VIATURAS, LDA
ECOFOOT, S.A.
E.A.D. - EMPRESA DE ARQUIVO DE DOCUMENTAÇÃO S.A.
DTV RESEARCH, UNIPESSOAL LDA
DOMATICA ­ GLOBAL SOLUTIONS, S.A.
GORGEOUSDETAILS, S.A. - SOCIEDADE EM LIQUIDAÇÃO
GRAPHENEST, S.A.
GLOBAL ACTIVE, GESTÃO DE PARTICIPAÇÕES SOCIAIS, SGPS S.A.
GLOBAL INPAKT, S.A.
GO BIZ, VIAGENS E TURISMO, S.A.
Union Square Ventures;VENIAM, INC.
HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.
HOTTRADE - REPRESENTAÇÕES, GESTÃO E SERVIÇOS S.A.
IBERMAROS-EQUIPAMENTOS INDUSTRIAIS, S.A.
Octopus Ventures;UNIPLACES LIMITED
GREENFIBER TECH, S.A.
GUESTCENTRIC SYSTEMS, S.A.
Atomico;UNIPLACES LIMITED
True Ventures;VENIAM, INC.
GUM CHEMICAL SOLUTIONS, S.A.
FOLLOWPRICE, S.A.
FRIDAY: CIÊNCIA E ENGENHARIA DO LAZER, S.A.
FÓRMULA DA AVÓ - LDA
FLUIDINOVA, S.A.
FEEDZAI, INC.
FOLLOW INSPIRATION, S.A.
GETSOCIAL, S.A.
GENIBET BIOPHARMACEUTICALS S.A.
GLEAM, S.A.
FUNCTIONAL ENVIROMICS TECHNOLOGIES, S.A.
GENE PREDIT S.A.
BIOMIMETX,S.A.
BIOMODE - BIOMOLECULAR DETERMINATION, S.A.
BICA STUDIOS, S.A.
BIOSURFIT S.A.
BIOMODE 2, S.A.
BLOOMERS, S.A.
BIOTREND - INOVAÇÃO E ENGENHARIA EM BIOTECNOLOGIA S.A.
BitSight Technologies
BRIGHT INNOVATION, LDA
BRIGHTWIZARD, S.A
BLUECARING - SISTEMAS DE MONITORIZAÇÃO, S.A.
ASINUS ATLANTICUS, S.A.
AquaSpy
APTOIDE, S.A.
AUGRPUBLISHER, S.A
Atraverda
ATP- ATLÂNTICO TRADE PARTNERS - IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS ALIMENTARES, LDA
BALFLEX PORTUGAL - COMPONENTES HIDRÁULICOS E INDUSTRIAIS S.A.
BABYBOOK, S.A.
BGUESTNOW, S.A.
BEYONDEVICES, S.A.
BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.
Code Place (Songvice B.V.)
COLLAB - SOLUÇÕES INFORMÁTICAS DE COMUNICAÇÃO E COLABORAÇÃO, S.A.
CONVERDE, S.A.
COREWORKS - PROJECTOS DE CIRCUITOS E SISTEMAS ELECTRÓNICOS, S.A.
CORTEX INTELLIGENCE TECNOLOGIA, LDA
CRITICAL LINKS S.A.
